,Name,Year,Mileage,Count Raiting,Rating,Fuel type,Interior color,Exterior_color,Price,bind_price
7860,Tesla Model 3 Long Range,2019,14384.0,8384.0,4.3,1, White / Black , Black ,51990.0,8
7861,Tesla Model 3 Long Range,2019,12391.0,1.0,5.0,1, Black , White ,53998.0,8
7862,Tesla Model 3 Long Range,2019,17518.0,128.0,4.4,1, White / Black , Black ,59033.0,8
7863,Tesla Model 3 Performance,2021,10345.0,123.0,4.2,1, Black , Black ,68967.0,9
7864,Tesla Model 3 Performance,2020,19602.0,533.0,4.8,1, White / Black , Gray ,57899.0,8
7867,Tesla Model 3 Long Range,2019,33174.0,7344.0,3.7,1, Black , Pearl White Multi-Coat ,47999.0,7
7868,Tesla Model 3 Performance,2020,40981.0,7342.0,3.7,1, White , Pearl White Multi-Coat ,57999.0,8
7869,Tesla Model 3 Long Range,2019,53885.0,5.0,1.2,1, White , Black ,44999.0,7
7870,Tesla Model 3 Long Range,2021,10844.0,109.0,4.5,1, Black , Deep Blue Metallic ,56500.0,8
7871,Tesla Model 3 Long Range,2020,47557.0,104.0,4.0,1, Black , Pearl White Multi ,50714.0,8
7872,Tesla Model 3 Long Range,2018,46423.0,447.0,4.9,1, Black , Blue ,45974.0,7
7873,Tesla Model 3 Long Range,2021,12789.0,8382.0,4.3,1, Black , Black ,57590.0,8
7874,Tesla Model 3 Performance,2020,21719.0,8381.0,4.3,1, Black , Gray ,57590.0,8
7875,Tesla Model 3 Performance,2020,17599.0,7347.0,3.7,1, Black , White ,59999.0,8
7876,Tesla Model 3 Long Range,2018,56805.0,7340.0,3.7,1, Black , Black ,48499.0,7
7877,Tesla Model 3 Performance,2020,36195.0,8384.0,4.3,1, Black , Red Multi ,54990.0,8
7878,Tesla Model 3 Long Range,2021,14272.0,8381.0,4.3,1, Black , White ,55990.0,8
7879,Tesla Model 3 Long Range,2019,13704.0,1648.0,4.8,1, White / Black , Black ,53995.0,8
7880,Tesla Model 3 Long Range,2018,22711.0,7344.0,3.7,1, Black , White ,48499.0,7
7881,Tesla Model 3 Long Range,2019,33869.0,8382.0,4.3,1, Black , Gray ,49990.0,7
7882,Tesla Model 3 Long Range,2020,30000.0,7342.0,3.7,1, Black , Blue ,50999.0,8
7883,Tesla Model 3 Performance,2021,4001.0,1417.0,4.7,1, White / Black , Deep Blue Metallic ,65900.0,9
7884,Tesla Model 3 Long Range,2020,13593.0,8381.0,4.3,1, White / Black , White ,51990.0,8
7885,Tesla Model 3 Performance,2021,2347.0,1859.0,4.9,1, White / Black , White ,69902.0,9
7886,Tesla Model 3 Long Range,2019,28022.0,8384.0,4.3,1, Black , Red Multi ,49990.0,7
7887,Tesla Model 3 Performance,2018,17565.0,8387.0,4.3,1, Black , Gray ,52990.0,8
7888,Tesla Model 3 Long Range,2021,13329.0,8381.0,4.3,1, Black , Gray ,55590.0,8
7889,Tesla Model 3 LONG RANGE,2018,33596.0,7344.0,3.7,1, Black , Obsidian Black Metallic ,50999.0,8
7890,Tesla Model 3 Long Range,2018,45655.0,3.0,3.7,1, White , Midnight Silver Metallic ,49499.0,7
7891,Tesla Model 3 Long Range,2019,34244.0,1446.0,4.7,1, White / Black , Black ,49497.0,7
7892,Tesla Model 3 Long Range,2018,37886.0,3455.0,4.7,1, Black , Red Multi ,48989.0,7
7894,Tesla Model 3 Performance,2020,10192.0,735.0,4.8,1, Black , Black ,61000.0,9
7896,Tesla Model 3 Long Range,2018,62151.0,236.0,3.3,1, Black , Red Multi ,42899.0,7
7897,Tesla Model 3 Long Range,2021,11305.0,5.0,4.1,1, Black , White ,56499.0,8
